salt,541
made,151
put,146
fo,137
brine,124
time,122
arc,110
water,108
sea,105
great,99
good,98
fuch,88
hath,87
make,85
herrings,84
mr,75
liquor,72
half,71
fame,70
long,62
trade,61
thefe,59
faid,59
beef,59
called,56
till,55
meat,54
alfo,54
ufe,51
cod,51
fi,51
thereof,50
fome,50
pan,49
white,49
fire,48
part,47
ground,47
year,47
ii,46
pans,46
butter,45
page,44
hot,44
moft,43
dry,43
divers,42
land,42
manner,41
sun,40
wine,40
french,39
tis,38
wit,38
boyling,38
sand,38
pound,38
pickle,38
bottom,37
iron,37
cured,36
making,35
tin,34
cask,34
fmall,34
de,32
large,32
company,32
men,32
red,32
england,31
ill,31
bay,31
caught,31
foreign,30
hall,30
poor,30
foot,30
fifh,30
years,29
ufed,29
lay,29
winter,29
home,28
whereof,28
ing,28
boy,28
found,27
hours,27
falted,27
days,27
kind,26
fix,26
common,26
ships,26
oyle,26
royal,25
firft,25
pounds,25
north,25
fo,85
art,76
fome,60
cookery,59
great,52
dr,48
good,47
letters,41
lifter,39
arte,39
tho,37
time,33
moft,33
book,30
fuch,30
de,30
fi,29
aut,29
things,28
made,27
make,26
cook,26
friend,26
wou,26
nee,26
tis,25
firft,25
fee,25
qui,25
give,23
meat,22
table,22
thing,21
cooks,21
man,21
eft,21
ut,21
quid,21
perfons,20
fame,20
thofe,20
ev,20
ad,20
author,19
sir,19
ufe,19
muft,18
find,18
fays,18
wine,18
ry,18
poetica,18
whofe,17
men,17
beef,16
fay,16
eat,16
si,16
er,15
put,15
found,15
common,14
till,14
friends,14
himfelf,14
mr,14
houfe,14
call,14
brought,14
makes,14
work,14
fhall,13
ing,13
em,13
thefe,13
supper,13
fat,13
sauces,12
age,12
nature,12
read,12
fit,12
feen,12
difli,12
part,12
pye,12
poets,12
ego,12
annotator,12
ve,11
poor,11
fent,11
prefent,11
salt,11
years,11
large,11
becaufe,11
perfon,11
true,11
ftill,11
put,2026
boil,794
half,780
water,760
butter,726
salt,668
make,652
fome,638
pound,620
sugar,618
good,552
lay,538
cut,538
till,526
muft,490
eggs,474
fix,432
liquor,404
white,402
pepper,396
fo,362
pint,344
ake,334
fine,330
juice,322
wine,322
mace,316
add,312
ounces,304
mix,276
fire,274
yolks,274
pounds,272
gravy,264
hot,264
fry,264
ounce,260
cover,258
nutmeg,256
pour,256
bake,254
cold,252
ferve,250
clofe,248
dry,244
feafon,240
appendix,238
hour,232
days,228
city,226
cream,222
fet,220
tender,220
fmall,216
parfly,210
flower,210
beat,206
country,204
pieces,204
fill,200
cloves,198
pye,198
slices,196
day,194
meat,194
vinegar,192
bread,188
thick,186
ic,184
lemon,184
quarter,184
force,182
quart,182
pan,180
quantity,180
egg,178
large,176
gallon,176
bottle,176
time,174
thyme,172
thefe,170
oil,170
veal,166
orange,166
pot,164
piece,162
ftove,160
sauce,152
ftand,152
hours,150
pickle,150
mutton,148
beef,146
cook,144
syrup,144
pafte,144
fame,142
twelve,142
roaft,142
fome,611
put,566
water,339
make,329
till,311
boil,269
salt,268
fame,265
thefe,262
good,254
butter,245
dry,234
country,213
